Onset,Offset,Text,Quantities,Title
144,143,"Jura končí obdobím komplexní obměny fauny, které je doprovázeno poklesem hladiny moře a ochlazením po předchozí výrazné teplé epizodě. Událost je způsobena souhrou různých faktorů, jako jsou rozsáhlé vulkanické erupce a dopady planetek.","['LIP_LIP_PDF', 'BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Jura
"142,95","141,95","Křída začala před 143 milióny let chladným obdobím a skončila před 77 milióny let dopadem planetky do oblasti Mexického zálivu. Skladbu, která ji ilustruje, hrajeme v pomalém rytmu 70 bpm, protože pomalu se tehdy měnila i teplota.
Křída je periodou mělkých moří, které zabíraly rozsáhlé plochy. Mělká moře vznikala díky vysoké mořské hladině a postupnému rozpadu kontinentu Pangea.","['Age', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)', 'BIO_Difference_Cubic', 'SEA_Modern land sea level  (C = 176.6 106km2/km)','TEM_GAT', 'TEM_dT', 'CO2_pCO2 (ppm)', 'O2_Mid O2%','SR_87Sr/86Sr Mean', 'LIP_LIP_PDF', 'MAG_INT_mean', 'MAG_POL_FREQUENCY','ZIR_Interpolated_mean_d18O', 'ZIR_Interpolated_mean_Hf']",Křída
120,119,"Souši stále vládli dinosauři a objevují se i další vývojové linie dnešní fauny – mnoho druhů savců, ptáků a ryb. 
Zvyšovala se rozmanitost kvetoucích rostlin, do té míry, že začaly na souši převládat.","['BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Křída
94,93,"Na začátku střední křídy dochází k oteplení. Tehdejší klima se popisuje jako Hothouse - globální průměrné teploty dosahovaly až 28°C. Pro takové období je typický malý rozdíl mezi teplotou na rovníku a na pólech. Neexistují chladné a polární podnebné pásy. Na pólech se objevily tropické rostliny a žily zde dinosauři. K nejvýraznější termálnímu maximu došlo před 94 milióny let, v průběhu jednoho ze dvou nejteplejších období za celé Fanerozoikum.","['TEM_dT', 'TEM_GAT', 'SEA_Modern land sea level']",Křída
"93,05","92,05",Hladina moře byla na nejvyšším úrovni za celé druhohory a na konci období Křídy dosahovala výše přesahující tu dnešní nejméně o 200 metrů.,"['TEM_dT', 'TEM_GAT', 'SEA_Modern land sea level']",Křída
78,77,"Křída končí dopadem planetky na povrch Země. 
Den se změnil v noc na několik let.","['BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Křída
66,65,"Paleogén trval v období před 66 až 23 milóny let a vzhledem k rychlým změnám teploty jej hrajeme v rytmu 190 bpm.
Paleogén začíná impaktní zimou, při které vyhynula velká část živočišných druhů. ","['BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Paleogén
"65,05","64,05","Tím se uvolnilo mnoho životních nik a došlo k rychlé a výraznému růstu rozmanitosti přeživších druhů. Většina dnešních obratlovců má své předky ve vývojových  liniích, které vznikly právě v tomto období.Savci postupně kolonizovali nejen souš, ale i vodu a vzduch.","['BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Paleogén
50,49,"Po katastrofické impaktní zimě se klima rychle otepluje, vlivem erupcí Dekkánských trapů v Indii. Oteplování pokračovalo až do termálního maxima globálního tropického klimatu před 62 až 39 milióny let. ","['TEM_dT', 'TEM_GAT', 'SEA_Modern land sea level']",Paleogén
35,34,Před 35 milióny let se srazila Indie s Asií a v pásu silných monzunů velmi rychle vznikly Himálaje. Rychlé a rozsáhlé zvětrávání hornin navázalo oxid uhličitý z atmosféry a došlo k výraznému ochlazení a poklesu hladiny moře. ,"['ZIR_Interpolated_mean_d18O', 'ZIR_Interpolated_mean_Hf', 'TEM_dT', 'TEM_GAT', 'SEA_Modern land sea level']",Paleogén
28,27,"Před 28 milióny let, došlo k prvnímu rozsáhlému zalednění Antarktidy a výraznému poklesu hladiny oceánu. Zvýšení odrazivosti polárních oblastí vytvořilo zpětnou vazbu, vedoucí k dalšímu ochlazování a vzniku oceánského zalednění.","[ 'TEM_dT', 'TEM_GAT', 'SEA_Modern land sea level']",Paleogén
"23,05","22,05","Neogén začíná nástupem dalšího ochlazování před 23 milióny let a skončil před 2,58 milióny let. Tuto periodu ilustrujeme rytmem orbitálních cyklů 156 bpm.
Neogén je obdobím značně proměnlivé, ale dlouhodobě rostoucí ledové pokrývky v polárních oblastech.","['TEM_dT', 'TEM_GAT', 'SEA_Modern land sea level']",Neogén
20,19,"Savci a ptáci se dál rozvíjejí do dnešní rozmanitosti a podob.
Objevují se první Hominidi. Před 20 milióny let opice, před 12 milióny let orangutani a před 8 až 4 milióny let gorily a šimpanzi.","['BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Neogén
7,6,"První fosílie, které souvisí s lidmi, se objevují před 7 až 5 milióny let. ",,Neogén
5,4,"Před 5 Ma se ochladilo natolik, že se k zaledněné Antarktidě přidal trvalý ledový pokryv Arktidy a Grónska a hladina moře dál klesala.","['BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Neogén
"3,5","2,5","Rod Homo se objevuje před 3,3 milióny let.
Neogén končí první dobou ledovou před 2,7 milióny let.","['Age', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)', 'BIO_Difference_Cubic', 'SEA_Modern land sea level  (C = 176.6 106km2/km)','TEM_GAT', 'TEM_dT', 'CO2_pCO2 (ppm)', 'O2_Mid O2%','SR_87Sr/86Sr Mean', 'LIP_LIP_PDF', 'MAG_INT_mean', 'MAG_POL_FREQUENCY','ZIR_Interpolated_mean_d18O', 'ZIR_Interpolated_mean_Hf']",Neogén
"2,45","1,45","Kvartér začíná první dobou ledovou a je charakterizován střídáním dob ledových a meziledových, které doprovází změny hladiny moře, a proto jej ilustrujeme hraním v rytmu orbitálních cyklů 312 bpm. ","['BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Kvartér
"0,3",0,Během kvartéru se rozvíjí rod Homo až k Homo Sapiens před 300 tisíci lety.,"['Age', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)', 'BIO_Difference_Cubic', 'SEA_Modern land sea level  (C = 176.6 106km2/km)','TEM_GAT', 'TEM_dT', 'CO2_pCO2 (ppm)', 'O2_Mid O2%','SR_87Sr/86Sr Mean', 'LIP_LIP_PDF', 'MAG_INT_mean', 'MAG_POL_FREQUENCY','ZIR_Interpolated_mean_d18O', 'ZIR_Interpolated_mean_Hf']",Kvartér
